ACCOUNT_ID,GROSS_TRANSACTION_AMOUNT,MERCHANT_CATEGORY_LEVEL_1,CARD_TYPE,CARD_HOLDER_CITY,CARD_HOLDER_STATE,CARD_HOLDER_GENERATION,CARD_PRESENT_INDICATOR,SHOPPER_CLASSIFICATION
A9594742,2.33,Restaurants and Food Services,Debit,THREE RIVERS,MI,Baby Boomer,Card Not Present,0
A4090799,24.71,Restaurants and Food Services,Credit,ORCHARD PARK,NY,Millennial,Card Not Present,2
A1638123,24.47,Restaurants and Food Services,Debit,WOODS CROSS,UT,Millennial,Card Present,0
A6118408,19.48,Restaurants and Food Services,Debit,TOLEDO,WA,Gen X,Unknown,0
A8314142,5.92,Restaurants and Food Services,Debit,KAWKAWLIN,MI,Millennial,Card Present,0
A7546259,12.41,Restaurants and Food Services,Credit,COBB ISLAND,MD,Millennial,Card Present,2
A8735369,19.02,Restaurants and Food Services,Debit,WESTON,OH,Millennial,Card Present,0
A2905742,10.49,Restaurants and Food Services,Debit,PIEDMONT,AL,Gen X,Card Present,0
A7579405,12.49,Restaurants and Food Services,Debit,STRUTHERS,OH,Gen X,Card Present,2
A2148282,7.81,Restaurants and Food Services,Debit,MILWAUKEE,WI,Millennial,Card Present,0
A5335734,9.13,Restaurants and Food Services,Debit,OAKDALE,LA,Gen X,Card Present,0
A6276408,10.32,Restaurants and Food Services,Debit,APOPKA,FL,Gen Z,Card Present,0
A7156588,6.0,Restaurants and Food Services,Debit,ENTERPRISE,AL,Millennial,Unknown,0
A9240442,12.81,Restaurants and Food Services,Debit,NORTH RICHLAND HILLS,TX,Millennial,Card Present,0
A7740974,14.93,Restaurants and Food Services,Debit,LITTLE ROCK,AR,Gen Z,Card Present,0
A6994861,6.44,Restaurants and Food Services,Debit,TY TY,GA,Millennial,Card Present,2
A1538560,9.77,Restaurants and Food Services,Debit,CLEVELAND,OH,Millennial,Card Present,0
A4769950,11.55,Restaurants and Food Services,Debit,MINNEAPOLIS,MN,Millennial,Card Present,0
A1102701,8.36,Restaurants and Food Services,Debit,SUITLAND,MD,Baby Boomer,Card Present,1
A2808428,17.66,Restaurants and Food Services,Debit,CANTON,MI,Millennial,Card Present,0
A2811650,5.52,Restaurants and Food Services,Debit,FREEPORT,ME,Baby Boomer,Card Present,0
A8276441,3.98,Restaurants and Food Services,General Purpose,FORT WORTH,TX,Gen X,Unknown,0
A8290005,1.99,Consumer Services,Debit,JACKSONVILLE,FL,Gen X,Card Present,1
A6817729,10.37,Restaurants and Food Services,Debit,CLEVELAND,OH,Gen Z,Card Not Present,0
A3079360,5.79,Restaurants and Food Services,Debit,DUBUQUE,IA,Gen Z,Card Present,0
A2986498,23.11,Restaurants and Food Services,Debit,HOUSTON,TX,Gen Z,Card Present,0
A9572339,22.13,Restaurants and Food Services,Debit,KNOXVILLE,TN,Gen X,Card Present,2
A4727693,1.02,Restaurants and Food Services,Debit,KALAMAZOO,MI,Unknown,Unknown,1
A1559973,1.08,Restaurants and Food Services,Debit,PORTLAND,ME,Baby Boomer,Card Not Present,0
A6483353,13.36,Restaurants and Food Services,Credit,MIAMI,FL,Millennial,Card Present,0
A7838636,5.13,Restaurants and Food Services,Debit,COLUMBUS,OH,Baby Boomer,Card Present,0
A8984488,19.55,Restaurants and Food Services,Debit,TALLAHASSEE,FL,Gen Z,Card Present,2
A7070591,10.42,Restaurants and Food Services,Debit,BALM,FL,Baby Boomer,Card Present,0
A7733338,13.48,Restaurants and Food Services,Debit,ELKHART,IN,Unknown,Card Present,0
A7867225,19.05,Restaurants and Food Services,Debit,BROWNSBURG,IN,Unknown,Card Present,0
A2722027,21.76,Restaurants and Food Services,Debit,VANCOUVER,WA,Gen X,Unknown,0
A6688272,1.89,Restaurants and Food Services,Debit,MILTON,FL,Unknown,Card Present,2
A8894847,3.73,Restaurants and Food Services,Credit,CHATSWORTH,CA,Baby Boomer,Card Present,0
A7178435,6.46,Restaurants and Food Services,Debit,SEABROOK,SC,Gen X,Card Not Present,0
A7354870,13.38,Restaurants and Food Services,Credit,BROWNSBURG,IN,Baby Boomer,Card Present,0
A6876714,9.85,Restaurants and Food Services,Debit,ROSEMOUNT,MN,Millennial,Card Present,0
A9211203,5.12,Restaurants and Food Services,Debit,VICKSBURG,MI,Millennial,Card Present,0
A9949442,9.67,Restaurants and Food Services,Debit,MILTON,FL,Baby Boomer,Card Present,0
A1864876,9.07,Restaurants and Food Services,Debit,CHULA VISTA,CA,Gen Z,Card Present,0
A1410626,20.37,Restaurants and Food Services,Debit,HUNTINGTON BEACH,CA,Gen X,Unknown,0
A8081227,19.4,Restaurants and Food Services,Debit,JACKSONVILLE BEACH,FL,Gen Z,Unknown,0
A8988811,18.69,Restaurants and Food Services,Debit,CHARLOTTE,NC,Baby Boomer,Card Present,0
A4121716,42.59,Restaurants and Food Services,Debit,DEERFIELD,KS,Gen X,Card Present,0
A3373731,9.98,Restaurants and Food Services,Debit,LEXINGTON,KY,Baby Boomer,Card Present,0
A1638123,9.15,Restaurants and Food Services,Debit,FORT MILL,SC,Unknown,Unknown,0
A2432704,53.12,Restaurants and Food Services,Debit,MONTGOMERY,AL,Millennial,Card Not Present,0
A5596489,14.75,Restaurants and Food Services,Debit,CHARLOTTE,NC,Baby Boomer,Card Present,0
A7561380,9.42,Restaurants and Food Services,Debit,KNOX,IN,Millennial,Card Present,0
A2175497,33.25,Restaurants and Food Services,Credit,SACRAMENTO,CA,Gen X,Card Present,1
A1373474,3.01,Restaurants and Food Services,Debit,NORTH BENTON,OH,Millennial,Card Present,0
A3984828,1.01,Restaurants and Food Services,Credit,LONG BEACH,CA,Gen X,Card Not Present,2
A1627536,27.35,Restaurants and Food Services,Debit,MOUNT CROGHAN,SC,Gen X,Card Present,0
A1639694,29.79,Restaurants and Food Services,Debit,PAYSON,UT,Millennial,Card Present,0
A3213269,10.27,Restaurants and Food Services,Debit,EUNICE,LA,Gen X,Card Present,0
A9076976,0.54,Restaurants and Food Services,Debit,SHAKOPEE,MN,Gen X,Card Present,0
A9536401,12.19,Restaurants and Food Services,Debit,SHELBY,NC,Gen Z,Unknown,0
A3936376,2.91,Restaurants and Food Services,Debit,SELINSGROVE,PA,Gen X,Card Present,0
A3890175,15.39,Restaurants and Food Services,Debit,REYNOLDSBURG,OH,Unknown,Card Present,0
A4278754,5.72,Restaurants and Food Services,Credit,ANGEL FIRE,NM,Baby Boomer,Card Present,2
A4428071,3.49,Restaurants and Food Services,Credit,DULUTH,GA,Gen X,Card Not Present,0
A7572999,8.04,Restaurants and Food Services,Credit,MADISON,AL,Gen X,Card Not Present,2
A5228466,44.6,Restaurants and Food Services,Debit,LANCASTER,SC,Gen X,Card Present,0
A6658438,6.88,Restaurants and Food Services,Debit,KATY,TX,Unknown,Card Present,0
A8725966,15.79,Restaurants and Food Services,Debit,BRISTOL,TN,Gen X,Card Present,2
A2197722,8.53,Restaurants and Food Services,Debit,KNOXVILLE,TN,Gen X,Card Present,1
A9600746,19.8,Restaurants and Food Services,Debit,PALMDALE,CA,Unknown,Card Not Present,0
A6104534,1.99,Restaurants and Food Services,Debit,MAPLE GROVE,MN,Millennial,Card Not Present,0
A9649686,3.24,Restaurants and Food Services,Debit,CHICAGO,IL,Baby Boomer,Card Present,0
A2577940,3.74,Restaurants and Food Services,Debit,ORLANDO,FL,Gen X,Card Present,0
A6078795,24.67,Restaurants and Food Services,Debit,DALLAS,TX,Gen X,Card Present,0
A3675600,16.99,Restaurants and Food Services,Credit,LA MESA,,Millennial,Card Present,2
A6074689,17.96,Restaurants and Food Services,Debit,HASTINGS,MN,Millennial,Unknown,0
A5969126,7.05,Restaurants and Food Services,Debit,KING OF PRUSSIA,PA,Millennial,Card Present,2
A1102701,5.6,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Unknown,Card Present,0
A6328220,10.94,Restaurants and Food Services,Debit,APOPKA,FL,Millennial,Card Present,1
A3495469,19.79,Restaurants and Food Services,Debit,DUBUQUE,IA,Gen Z,Card Present,0
A7483216,1.61,Restaurants and Food Services,Debit,LAKE CHARLES,LA,Millennial,Card Present,0
A1964287,9.98,Restaurants and Food Services,Debit,DRUMS,PA,Gen X,Card Not Present,2
A9199168,2.02,Restaurants and Food Services,Debit,CAMDEN,NJ,Gen Z,Card Present,0
A5650186,13.45,Restaurants and Food Services,Credit,WAVERLY,MN,Unknown,Card Present,0
A6768218,33.01,Restaurants and Food Services,Debit,DENVER,CO,Millennial,Card Present,0
A2684462,35.89,Restaurants and Food Services,Debit,ABERDEEN,MD,Gen Z,Card Present,0
A3507421,5.29,Restaurants and Food Services,Debit,HOUSTON,TX,Millennial,Card Present,0
A8590797,39.49,Restaurants and Food Services,Debit,HENRICO,VA,Unknown,Card Not Present,2
A5275557,7.45,Restaurants and Food Services,Debit,EUCLID,OH,Gen X,Card Present,0
A6043313,16.84,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Gen X,Unknown,0
A4298659,10.11,Restaurants and Food Services,Debit,WATERTOWN,NY,Millennial,Card Present,0
A1125366,1.84,Restaurants and Food Services,Debit,PEVELY,MO,Gen X,Card Present,0
A5537351,7.14,Restaurants and Food Services,Debit,CHATTANOOGA,TN,Baby Boomer,Card Present,2
A9753333,5.11,Restaurants and Food Services,Credit,EULESS,TX,Millennial,Unknown,0
A6926968,3.44,Restaurants and Food Services,Debit,HOUSTON,TX,Millennial,Card Not Present,1
A3891402,12.33,Restaurants and Food Services,Debit,COLLIERVILLE,TN,Millennial,Card Present,2
A3549444,2.98,Restaurants and Food Services,Debit,WINSTON SALEM,NC,Millennial,Card Present,0
A2771277,4.47,Restaurants and Food Services,Debit,SCHAUMBURG,IL,Gen Z,Card Present,0
A4029915,1.34,Consumer Services,Credit,YONKERS,NY,Millennial,Unknown,2
A2519690,8.08,Restaurants and Food Services,Debit,FLEETWOOD,PA,Gen X,Card Present,0
A3749131,18.27,Restaurants and Food Services,Debit,FORT WORTH,TX,Gen X,Unknown,0
A4152058,16.42,Restaurants and Food Services,Debit,SAINT CLOUD,MN,Millennial,Card Present,0
A8890184,2.14,Restaurants and Food Services,Debit,EDEN PRAIRIE,MN,Unknown,Card Present,2
A2537498,16.03,Restaurants and Food Services,Debit,GREEN COVE SPRINGS,FL,Millennial,Card Present,0
A1722088,11.98,Restaurants and Food Services,Debit,PINELLAS PARK,FL,Millennial,Card Present,0
A7837295,17.44,Restaurants and Food Services,Debit,LANSING,MI,Gen Z,Card Not Present,0
A4180723,21.51,Restaurants and Food Services,Debit,KALAMAZOO,MI,Baby Boomer,Card Present,0
A2663674,1.97,Restaurants and Food Services,Debit,LOGAN,OH,Millennial,Card Present,0
A6369788,10.31,Restaurants and Food Services,Debit,AUSTIN,TX,Gen Z,Unknown,0
A8586850,6.76,Restaurants and Food Services,Debit,FORT LAUDERDALE,FL,Unknown,Card Present,0
A2584280,9.37,Restaurants and Food Services,Debit,BLACKFOOT,ID,Millennial,Card Not Present,0
A9761431,6.78,Restaurants and Food Services,Debit,INDIANAPOLIS,IN,Unknown,Card Present,0
A2276670,3.38,Restaurants and Food Services,Debit,POMPANO BEACH,FL,Gen X,Unknown,1
A6090895,13.77,Restaurants and Food Services,Credit,MARANA,AZ,Millennial,Card Present,0
A5380977,13.47,Restaurants and Food Services,Debit,ALIQUIPPA,PA,Millennial,Card Present,0
A6393090,25.19,Restaurants and Food Services,Credit,CORPUS CHRISTI,TX,Unknown,Card Not Present,2
A6340749,7.53,Restaurants and Food Services,Credit,AUSTIN,MN,Baby Boomer,Card Present,2
A7316252,6.24,Restaurants and Food Services,Debit,BOYNE CITY,MI,Unknown,Card Not Present,0
A2979988,2.64,Restaurants and Food Services,Debit,MARTINSBURG,WV,Unknown,Card Present,0
A7347834,27.63,Restaurants and Food Services,Debit,ALBANY,OR,Millennial,Card Not Present,0
A1997143,11.96,Restaurants and Food Services,Debit,RUSSIAVILLE,IN,Millennial,Card Present,0
A4759553,5.32,Restaurants and Food Services,Debit,HUDSON,NH,Unknown,Card Present,0
A7006672,21.56,Restaurants and Food Services,Debit,WOODS CROSS,UT,Unknown,Card Present,0
A2073458,15.0,Restaurants and Food Services,Debit,HILLIARD,OH,Gen Z,Card Present,0
A1619863,28.33,Restaurants and Food Services,Debit,OCALA,FL,Gen X,Card Present,0
A2656348,19.6,Restaurants and Food Services,Debit,DALLAS,OR,Millennial,Card Present,0
A1641957,5.87,Restaurants and Food Services,Debit,DELRAY BEACH,FL,Millennial,Unknown,0
A8604468,26.23,Restaurants and Food Services,Debit,NEWPORT,MI,Gen X,Card Not Present,1
A7829803,2.15,Restaurants and Food Services,Debit,KALAMAZOO,MI,Millennial,Unknown,0
A5872004,8.39,Restaurants and Food Services,Debit,MARION,OH,Millennial,Card Present,0
A2150233,13.96,Restaurants and Food Services,Debit,SEATTLE,WA,Millennial,Card Present,0
A8693318,13.35,Restaurants and Food Services,Debit,SILSBEE,TX,Gen X,Card Present,0
A4871684,3.35,Restaurants and Food Services,Debit,ASHLAND,KY,Unknown,Card Present,0
A9020791,23.91,Restaurants and Food Services,Debit,RICHARDSON,TX,Gen Z,Card Present,0
A9613480,15.77,Restaurants and Food Services,Debit,LEESBURG,FL,Gen X,Card Present,0
A1132285,16.79,Restaurants and Food Services,Payroll,GOODYEAR,AZ,Gen Z,Unknown,0
A2174279,3.53,Restaurants and Food Services,Debit,JAMESVILLE,NY,Baby Boomer,Card Present,2
A6765051,7.74,Restaurants and Food Services,Credit,MUNDELEIN,IL,Unknown,Card Present,2
A5517003,6.41,Restaurants and Food Services,Debit,PLAINWELL,MI,Millennial,Card Present,0
A5063351,8.71,Restaurants and Food Services,Debit,KINGSTON,TN,Millennial,Card Present,2
A1958738,3.51,Restaurants and Food Services,Debit,PHILADELPHIA,PA,Gen X,Card Present,0
A5508827,7.46,Restaurants and Food Services,Debit,MINNEAPOLIS,MN,Baby Boomer,Card Present,0
A7335664,10.11,Restaurants and Food Services,Credit,FORT WAYNE,IN,Gen X,Card Present,0
A2656348,15.12,Restaurants and Food Services,Debit,BOYERTOWN,PA,Unknown,Card Not Present,0
A5748075,21.81,Restaurants and Food Services,Debit,MEDIA,PA,Millennial,Unknown,2
A5334637,21.25,Restaurants and Food Services,Debit,FOLEY,AL,Unknown,Card Present,2
A8907686,25.25,Restaurants and Food Services,Debit,HILDEBRAN,NC,Gen X,Card Present,0
A1263013,9.44,Restaurants and Food Services,Debit,MASSILLON,OH,Unknown,Card Present,2
A9968268,18.39,Restaurants and Food Services,Credit,SAINT PAUL,MN,Unknown,Card Present,0
A8783943,6.92,Restaurants and Food Services,Debit,SEAGROVE,NC,Gen X,Card Present,0
A2137354,8.46,Restaurants and Food Services,Debit,TERRE HAUTE,IN,Gen X,Card Present,0
A9773489,10.98,Restaurants and Food Services,Debit,LOWELL,MI,Gen X,Card Present,0
A3301445,48.38,Restaurants and Food Services,Debit,PARK HILLS,MO,Gen Z,Card Not Present,0
A2986014,6.35,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Millennial,Card Present,0
A4412310,23.2,Restaurants and Food Services,Debit,SHELBYVILLE,IN,Millennial,Card Present,0
A9957554,5.26,Restaurants and Food Services,Debit,TAMPA,FL,Gen Z,Card Present,0
A2908092,15.65,Restaurants and Food Services,Debit,KAYENTA,AZ,Gen Z,Card Present,0
A3282406,19.57,Restaurants and Food Services,Debit,PRATTVILLE,AL,Unknown,Card Present,0
A9419077,10.43,Restaurants and Food Services,Credit,FORISTELL,MO,Gen Z,Card Present,0
A8573897,35.5,Restaurants and Food Services,Debit,LEBANON,MO,Gen Z,Card Present,1
A3495736,30.99,Restaurants and Food Services,Debit,CHARLOTTE,NC,Millennial,Unknown,0
A2421497,9.12,Restaurants and Food Services,Debit,OGDEN,UT,Millennial,Card Present,0
A8300561,13.24,Restaurants and Food Services,Credit,DAYTON,OH,Millennial,Card Present,0
A9635721,9.9,Restaurants and Food Services,Debit,ATLANTA,GA,Millennial,Card Present,0
A9259564,1.27,Restaurants and Food Services,Debit,ROCKFORD,IL,Gen Z,Card Present,1
A6256598,9.39,Restaurants and Food Services,Debit,LEXINGTON,KY,Gen Z,Card Present,0
A9578611,19.22,Restaurants and Food Services,Debit,SUGAR LAND,TX,Millennial,Card Present,0
A7727539,1.47,Restaurants and Food Services,Debit,MILWAUKEE,WI,Gen Z,Card Present,0
A5184066,18.51,Restaurants and Food Services,Credit,FONTANA,CA,Baby Boomer,Card Not Present,0
A4447656,13.12,Restaurants and Food Services,Debit,SAN ANTONIO,TX,Millennial,Card Present,0
A7069667,14.78,Restaurants and Food Services,Debit,CLARKSVILLE,TN,Unknown,Card Present,0
A9572339,17.47,Restaurants and Food Services,Debit,LAFAYETTE,IN,Unknown,Card Present,1
A8971999,5.74,Restaurants and Food Services,Debit,CINCINNATI,OH,Unknown,Card Not Present,0
A4426265,11.49,Restaurants and Food Services,Debit,LAWLER,IA,Baby Boomer,Unknown,0
A4607437,7.06,Restaurants and Food Services,Debit,WESLEY CHAPEL,FL,Gen X,Card Present,0
A1757648,40.02,Restaurants and Food Services,Debit,KISSIMMEE,FL,Gen X,Card Present,0
A5870499,21.5,Restaurants and Food Services,Debit,RICE,TX,Gen X,Unknown,0
A4716630,21.02,Restaurants and Food Services,Debit,DENVER,NC,Millennial,Card Not Present,0
A9081388,28.86,Restaurants and Food Services,Debit,FORT WASHINGTON,MD,Millennial,Card Present,0
A9392815,10.5,Restaurants and Food Services,Debit,HARKER HEIGHTS,TX,Gen Z,Card Present,0
A7931426,8.76,Restaurants and Food Services,Credit,CLAYTON,NC,Millennial,Card Not Present,0
A8020241,12.44,Restaurants and Food Services,Debit,HAMPTON,VA,Gen Z,Card Present,1
A1192968,3.96,Restaurants and Food Services,Debit,CLEVELAND,OH,Gen Z,Unknown,0
A1486248,5.51,Restaurants and Food Services,Debit,CONNERSVILLE,IN,Millennial,Card Present,0
A8167477,10.16,Restaurants and Food Services,Debit,JACKSON,TN,Gen Z,Unknown,0
A2414485,7.84,Restaurants and Food Services,Debit,SANTA ROSA BEACH,FL,Baby Boomer,Card Present,0
A3624381,33.47,Restaurants and Food Services,Debit,ORLANDO,FL,Gen X,Card Present,0
A5997712,6.48,Restaurants and Food Services,Debit,NEWPORT,KY,Millennial,Card Present,0
A5955831,18.68,Restaurants and Food Services,Debit,INDIANAPOLIS,IN,Unknown,Card Present,0
A5122826,5.94,Restaurants and Food Services,Debit,MIAMI,FL,Gen X,Card Present,2
A6080876,1.89,Consumer Services,Credit,SAINT PAUL,MN,Gen X,Card Present,0
A7100893,19.23,Restaurants and Food Services,Credit,SAINT LOUIS,MO,Gen X,Card Present,2
A2513055,26.01,Restaurants and Food Services,Debit,NORTH LAS VEGAS,NV,Gen X,Card Present,0
A4132179,1.26,Restaurants and Food Services,Debit,MANSFIELD,OH,Gen X,Unknown,0
A8402334,9.53,Restaurants and Food Services,Debit,EL PASO,TX,Gen Z,Unknown,0
A8898021,11.14,Restaurants and Food Services,Debit,AURORA,IL,Millennial,Card Present,0
A3638843,25.24,Restaurants and Food Services,Debit,CHICAGO,IL,Unknown,Card Present,0
A3781021,3.98,Restaurants and Food Services,Debit,BIDDEFORD,ME,Millennial,Card Present,0
A3410438,14.55,Restaurants and Food Services,Debit,HENDERSON,NC,Baby Boomer,Card Present,0
A6979332,11.36,Restaurants and Food Services,Debit,DELTONA,FL,Gen Z,Card Present,0
A2521521,4.03,Restaurants and Food Services,Debit,DETROIT,MI,Millennial,Card Present,0
A7858900,7.41,Restaurants and Food Services,Debit,LEHI,UT,Millennial,Card Present,0
A2312178,18.82,Restaurants and Food Services,Debit,NEW LONDON,WI,Gen X,Card Present,0
A1629049,29.58,Restaurants and Food Services,Debit,GRAND RIDGE,FL,Millennial,Card Present,0
A9352748,16.44,Restaurants and Food Services,Debit,CORVALLIS,OR,Millennial,Card Present,0
A8062554,8.67,Restaurants and Food Services,Debit,WASHINGTON,MI,Millennial,Card Present,2
A1088816,14.08,Restaurants and Food Services,Debit,TUCSON,AZ,Baby Boomer,Card Present,0
A9648784,10.66,Restaurants and Food Services,Debit,ORANGE PARK,FL,Unknown,Unknown,0
A2341554,27.56,Restaurants and Food Services,Debit,BRIGHTON,CO,Gen Z,Card Present,0
A8410353,2.13,Restaurants and Food Services,Debit,CHARLOTTE,NC,Gen X,Unknown,0
A9510404,11.03,Restaurants and Food Services,Debit,MILWAUKEE,WI,Millennial,Card Present,0
A3731187,23.18,Restaurants and Food Services,Debit,INDIANAPOLIS,IN,Gen X,Card Present,0
A6259115,25.55,Restaurants and Food Services,Credit,DUVALL,WA,Unknown,Card Not Present,0
A4596461,9.13,Restaurants and Food Services,Credit,REGO PARK,NY,Millennial,Card Present,0
A2584153,20.91,Restaurants and Food Services,Credit,SOUTH GATE,CA,Millennial,Card Present,0
A2013791,8.74,Restaurants and Food Services,Debit,FLUSHING,MI,Baby Boomer,Unknown,0
A6340749,12.98,Restaurants and Food Services,Debit,SAN DIEGO,TX,Unknown,Card Present,0
A5073317,22.62,Restaurants and Food Services,Debit,KELLER,TX,Baby Boomer,Card Present,0
A9143763,13.09,Restaurants and Food Services,Payroll,BIRMINGHAM,AL,Gen X,Unknown,0
A6595825,8.24,Restaurants and Food Services,Debit,BELLEVUE,KY,Millennial,Card Present,0
A6233090,6.36,Restaurants and Food Services,Debit,EL PASO,TX,Millennial,Card Not Present,0
A6393090,6.69,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Millennial,Unknown,0
A2954280,2.71,Restaurants and Food Services,Credit,PORTLAND,OR,Millennial,Card Not Present,2
A6871166,3.7,Restaurants and Food Services,Debit,CONROE,TX,Gen X,Card Present,0
A7308755,9.81,Restaurants and Food Services,Debit,SAN ANTONIO,TX,Unknown,Unknown,2
A7211674,2.81,Consumer Services,Debit,SAINT PETERS,MO,Millennial,Card Present,2
A7906123,6.04,Restaurants and Food Services,Debit,PICKERINGTON,OH,Gen Z,Card Present,0
A6268580,12.12,Restaurants and Food Services,Debit,HENDERSON,KY,Baby Boomer,Card Present,0
A1897535,3.36,Restaurants and Food Services,Debit,GLENVIEW,IL,Millennial,Card Present,0
